study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_md5	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB3366	SAMEA1573128	ERS185183	ERX163029	ERR188092	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	079f1175e8669165ea2bfe076c1ee1d6;b93360358bb16d6d056b85aecce38739	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188092/ERR188092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188092/ERR188092_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188092/ERR188092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188092/ERR188092_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12546.3.M_120202_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12546.3.M_120202_4_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12546.3.M_120202_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12546.3.M_120202_4_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188092	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188092		
PRJEB3366	SAMEA1573338	ERS185285	ERX163046	ERR188093	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	77609e21d4d007e4352d98cfc26b5366;8db88980797253628c6f47579af66bbb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188093/ERR188093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188093/ERR188093_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188093/ERR188093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188093/ERR188093_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19150.5.M_120131_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19150.5.M_120131_7_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19150.5.M_120131_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19150.5.M_120131_7_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188093	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188093		
PRJEB3366	SAMEA1573253	ERS185112	ERX163048	ERR188094	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	619dbd8c8f1f60640aa3b828c95acbbc;435f5328816f00bb5573f441f9453305	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188094/ERR188094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188094/ERR188094_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188094/ERR188094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188094/ERR188094_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20806.3.M_120202_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20806.3.M_120202_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20806.3.M_120202_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20806.3.M_120202_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188094	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188094		
PRJEB3366	SAMEA1573422	ERS185374	ERX162882	ERR188095	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	471cd0a784f653b3f175a9ebe9136c9e;4819f2021204e5043b2b2e603650be3e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188095/ERR188095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188095/ERR188095_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188095/ERR188095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188095/ERR188095_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00137.6.M_120217_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00137.6.M_120217_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00137.6.M_120217_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00137.6.M_120217_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188095	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188095		
PRJEB3366	SAMEA1573337	ERS185211	ERX162859	ERR188096	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	d7c1a8517d6cf1cb3553349bb3d4932a;a7ec21a34cebd9a61cd3708546a8fa34	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188096/ERR188096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188096/ERR188096_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188096/ERR188096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188096/ERR188096_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA18933.1.M_111124_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA18933.1.M_111124_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA18933.1.M_111124_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA18933.1.M_111124_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188096	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188096		
PRJEB3366	SAMEA1573228	ERS185100	ERX163036	ERR188097	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	c38d20682763b0a44d926350deb6386a;57020c0858e6875e8ef8c36c584d12f1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188097/ERR188097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188097/ERR188097_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188097/ERR188097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188097/ERR188097_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA18511.7.M_120219_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA18511.7.M_120219_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA18511.7.M_120219_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA18511.7.M_120219_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188097	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188097		
PRJEB3366	SAMEA1573226	ERS185119	ERX162883	ERR188098	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	87b1be40213dda26267f17e215ffe1b7;2f1b60e6cd9c18f05285c6f570ed30fb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188098/ERR188098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188098/ERR188098_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188098/ERR188098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188098/ERR188098_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00337.5.M_120131_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00337.5.M_120131_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00337.5.M_120131_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00337.5.M_120131_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188098	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188098		
PRJEB3366	SAMEA1573291	ERS185207	ERX163151	ERR188099	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	67c4e7e628214fdfd687bacbdae53bcc;7e0f4acca70ec758ba4901cc0d03e5bd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188099/ERR188099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188099/ERR188099_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188099/ERR188099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188099/ERR188099_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12843.6.M_120119_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12843.6.M_120119_4_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12843.6.M_120119_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12843.6.M_120119_4_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188099	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188099		
PRJEB3366	SAMEA1573331	ERS185288	ERX162730	ERR188100	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	7151bac6e7f1e765663683545b7a8e54;bd8cfd514d02ce452135aeac89950c5d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188100/ERR188100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188100/ERR188100_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188100/ERR188100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188100/ERR188100_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12762.4.M_120208_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12762.4.M_120208_3_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12762.4.M_120208_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12762.4.M_120208_3_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188100	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188100		
PRJEB3366	SAMEA1573342	ERS185493	ERX162990	ERR188101	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	a78821bb0696b24c7dd21d6429e591ee;3a494bb72cd1852d6d57ab6fd54532bc	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188101/ERR188101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188101/ERR188101_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188101/ERR188101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188101/ERR188101_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA10847.4.M_120208_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA10847.4.M_120208_4_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA10847.4.M_120208_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA10847.4.M_120208_4_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188101	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188101		
PRJEB3366	SAMEA1573083	ERS185130	ERX163057	ERR188102	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	dd3ccaf8b4fe9209898e8bcde8989009;83275d34a953171c3b000d2110a6cc05	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188102/ERR188102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188102/ERR188102_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188102/ERR188102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188102/ERR188102_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00383.1.M_111124_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00383.1.M_111124_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00383.1.M_111124_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00383.1.M_111124_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188102	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188102		
PRJEB3366	SAMEA1573195	ERS185356	ERX162873	ERR188103	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	aa192d93ef9c7732e8a9813d6101f6c4;f02fd69670dd92c744e4f24e1620cdee	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188103/ERR188103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188103/ERR188103_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188103/ERR188103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188103/ERR188103_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19184.1.M_111124_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19184.1.M_111124_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19184.1.M_111124_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19184.1.M_111124_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188103	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188103		
PRJEB3366	SAMEA1573115	ERS185331	ERX163171	ERR188104	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	d214f36e9d832333522d30c327cdfe42;5ddee1e707a2547a147e194f54130ff2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188104/ERR188104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188104/ERR188104_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188104/ERR188104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188104/ERR188104_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19146.5.M_120131_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19146.5.M_120131_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19146.5.M_120131_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19146.5.M_120131_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188104	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188104		
PRJEB3366	SAMEA1573315	ERS185227	ERX162789	ERR188105	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	cadd1af92f4004fb9c8611777383917f;013180e87c2a31ce578857d55a26dd58	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188105/ERR188105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188105/ERR188105_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188105/ERR188105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188105/ERR188105_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20768.5.M_120131_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20768.5.M_120131_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20768.5.M_120131_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20768.5.M_120131_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188105	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188105		
PRJEB3366	SAMEA1573267	ERS185114	ERX163002	ERR188106	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	b40b349886120f8b03cfd65bdc9d3ad1;78913e97109bcdc942502be62f70e7cd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188106/ERR188106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188106/ERR188106_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188106/ERR188106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188106/ERR188106_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00247.3.M_120202_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00247.3.M_120202_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00247.3.M_120202_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00247.3.M_120202_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188106	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188106		
PRJEB3366	SAMEA1573360	ERS185304	ERX162853	ERR188107	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	832e7dcab80f80304a9073cbdfee6ed4;f928db2154e4f5d39ad7a33dc4d0738d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188107/ERR188107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188107/ERR188107_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188107/ERR188107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188107/ERR188107_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12342.1.M_111124_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12342.1.M_111124_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12342.1.M_111124_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12342.1.M_111124_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188107	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188107		
PRJEB3366	SAMEA1573514	ERS185289	ERX162776	ERR188108	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	7e314ead0467bc72ac327487a9970be5;a3c4857c2ed3e8f1c3ab47b60d585673	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188108/ERR188108_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188108/ERR188108_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188108/ERR188108_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188108/ERR188108_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20754.4.M_120208_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20754.4.M_120208_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20754.4.M_120208_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20754.4.M_120208_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188108	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188108		
PRJEB3366	SAMEA1573214	ERS185204	ERX162874	ERR188109	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	c348b71a3392108e740613cc8801a57e;22802e9f535a83017bbd0155f91b567f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188109/ERR188109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188109/ERR188109_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188109/ERR188109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188109/ERR188109_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19121.3.M_120202_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19121.3.M_120202_6_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19121.3.M_120202_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19121.3.M_120202_6_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188109	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188109		
PRJEB3366	SAMEA1573189	ERS185023	ERX162762	ERR188110	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	dcd908ef5a41ba1e405f7fb4174861c8;003e53d3950f196e45ed3bc9b7fe584d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188110/ERR188110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188110/ERR188110_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188110/ERR188110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188110/ERR188110_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20760.3.M_120202_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20760.3.M_120202_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20760.3.M_120202_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20760.3.M_120202_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188110	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188110		
PRJEB3366	SAMEA1573208	ERS185046	ERX162751	ERR188111	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	428cb1426950cf6c3172ffa7d4c116ac;1d7b512c0828f702de92c1bb4915757d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188111/ERR188111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188111/ERR188111_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188111/ERR188111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188111/ERR188111_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00255.2.M_111216_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00255.2.M_111216_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00255.2.M_111216_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00255.2.M_111216_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188111	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188111		
PRJEB3366	SAMEA1573474	ERS185379	ERX163069	ERR188112	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	0f36f3a17e78e92881b9b839bd9c5af7;4cd137755baab68868ff04c67a618873	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188112/ERR188112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188112/ERR188112_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188112/ERR188112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188112/ERR188112_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00239.7.M_120219_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00239.7.M_120219_4_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00239.7.M_120219_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00239.7.M_120219_4_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188112	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188112		
PRJEB3366	SAMEA1573088	ERS185428	ERX162913	ERR188113	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	f401fcf5f4b8ab4b8465a2c3baf65675;fb533795e31d2a2bcda11434967ac71b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188113/ERR188113_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188113/ERR188113_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188113/ERR188113_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188113/ERR188113_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00324.1.M_111124_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00324.1.M_111124_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00324.1.M_111124_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00324.1.M_111124_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188113	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188113		
